numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07621;20141204210000;101660;120;1;180;1.900000;276.050000;275.350000;95;17610;0;mq;mq;mq;0;mq;mq;mq;mq;97220;mq;mq;250;mq;mq;mq;mq;279.050000;mq;mq;2.400000;2.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07627;20141204210000;101640;90;1;0;0.000000;278.150000;275.150000;81;20000;0;mq;mq;100;8;mq;mq;mq;mq;96630;mq;mq;250;mq;mq;mq;mq;278.550000;mq;mq;1.600000;4.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;7;mq;2100;8;mq;2460;mq;mq;mq;mq;mq;mq;
07630;20141204210000;101640;80;1;150;1.200000;278.050000;275.450000;83;14010;0;mq;mq;100;8;mq;mq;mq;mq;99790;mq;mq;230;mq;mq;mq;mq;277.650000;mq;mq;1.600000;2.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;3;mq;2520;5;mq;3420;7;mq;4020;mq;mq;mq;
07643;20141204210000;101270;30;1;280;2.400000;282.650000;280.250000;85;18000;mq;mq;mq;mq;mq;mq;mq;mq;mq;101170;mq;mq;60;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07650;20141204210000;101110;-40;8;130;1.200000;283.650000;282.450000;92;4000;mq;mq;mq;mq;mq;mq;mq;mq;mq;100720;mq;mq;30;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2;0.000000;mq;mq;0.400000;1.000000;1.400000;1.400000;1.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07661;20141204210000;101050;-20;7;40;8.900000;284.850000;284.250000;96;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99450;mq;mq;30;mq;mq;mq;mq;mq;mq;mq;12.300000;14.300000;-10;mq;mq;mq;mq;0.000000;1.800000;7.300000;27.100000;27.700000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07690;20141204210000;101250;-30;6;340;3.600000;285.450000;283.350000;87;30000;mq;mq;mq;mq;mq;mq;mq;mq;mq;100940;mq;mq;240;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2;0.000000;mq;mq;-0.100000;-0.100000;0.600000;3.400000;16.300000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07747;20141204210000;101390;60;1;310;3.600000;280.650000;277.250000;79;19480;mq;mq;mq;mq;mq;mq;mq;mq;mq;100850;mq;mq;130;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2;0.000000;mq;mq;3.200000;4.400000;4.800000;4.800000;4.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07761;20141204210000;101240;90;3;160;0.900000;285.050000;283.150000;88;59160;mq;mq;mq;mq;mq;mq;mq;mq;mq;101130;mq;mq;280;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;-0.100000;2.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07790;20141204210000;101250;30;3;240;1.600000;285.150000;283.850000;92;12000;mq;mq;mq;mq;mq;mq;mq;mq;mq;101110;mq;mq;260;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;0.200000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61976;20141204210000;101360;mq;mq;0;0.000000;300.350000;295.950000;77;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101210;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61980;20141204210000;101440;-130;8;190;3.800000;297.950000;295.450000;86;60000;mq;mq;mq;mq;mq;mq;mq;mq;mq;101290;mq;mq;-20;mq;mq;mq;mq;mq;mq;mq;5.100000;5.500000;-10;mq;mq;mq;mq;-0.100000;2.000000;2.000000;2.000000;2.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61996;20141204210000;101570;40;3;160;8.700000;283.850000;278.550000;70;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101220;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;15.900000;17.000000;-10;mq;mq;mq;mq;mq;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61997;20141204210000;102800;-30;5;340;8.200000;275.350000;273.050000;85;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100960;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;12.300000;-10;mq;mq;mq;mq;mq;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61998;20141204210000;101740;30;1;260;9.800000;276.250000;271.650000;72;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101360;mq;mq;650;mq;mq;mq;mq;mq;mq;mq;mq;12.300000;-10;mq;mq;mq;mq;mq;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
67005;20141204210000;101370;-120;8;220;3.500000;299.350000;294.750000;76;20000;mq;mq;mq;mq;mq;mq;mq;mq;mq;101290;mq;mq;-10;mq;mq;mq;mq;mq;mq;mq;4.900000;5.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
71805;20141204210000;101670;270;1;270;9.800000;276.750000;272.750000;75;15000;2;1;1;50;3;800;35;20;11;101580;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;15.900000;17.500000;-10;mq;mq;mq;mq;mq;0.000000;mq;mq;mq;mq;mq;mq;mq;3;6;750;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78897;20141204210000;101140;10;3;170;2.100000;298.650000;294.550000;78;10000;2;1;1;80;6;800;38;20;10;mq;mq;mq;120;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2;8;600;5;6;1800;mq;mq;mq;mq;mq;mq;
78925;20141204210000;101070;-10;5;100;2.400000;301.250000;296.150000;74;60000;mq;mq;mq;mq;mq;mq;mq;mq;mq;100980;mq;mq;100;mq;mq;mq;mq;mq;mq;mq;3.500000;5.700000;-10;mq;mq;mq;mq;0.000000;-0.100000;5.700000;6.700000;7.300000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20141204210000;100950;30;3;100;3.100000;300.650000;296.450000;78;22750;0;mq;mq;100;3;800;mq;mq;mq;100860;mq;mq;130;mq;mq;mq;mq;295.650000;mq;mq;5.300000;6.800000;-10;mq;mq;mq;mq;0.400000;0.400000;0.400000;13.300000;13.500000;mq;mq;mq;mq;1;mq;720;3;mq;1020;8;mq;6780;mq;mq;mq;
